x	y
-1.999892999968301	0
-1.9997861884463015	0
-1.999679376924302	0
-1.9995725654023024	0
-1.999465753880303	0
-1.9993589423583034	0
-1.9992521308363038	0
-1.9991453193143043	0
-1.9990385077923047	0
-1.9989316962703052	0
-1.9988248847483057	0
-1.9987180732263061	0
-1.9986112617043066	0
-1.998504450182307	0
-1.9983976386603075	0
-1.998290827138308	0
-1.9981840156163084	0
-1.998077204094309	0
-1.9979703925723094	0
-1.9978635810503098	0
-1.9977567695283103	0
-1.9976499580063107	0
-1.9975431464843112	0
-1.9974363349623117	0
-1.9973295234403121	0
-1.9972227119183126	0
-1.997115900396313	0
-1.9970090888743135	0
-1.996902277352314	0
-1.9967954658303144	0
-1.9966886543083149	0
-1.9965818427863153	0
-1.9964750312643158	0
-1.9963682197423163	0
-1.9962614082203167	0
-1.9961545966983172	0
-1.9960477851763176	0
-1.995940973654318	0
-1.9958341621323186	0
-1.995727350610319	0
-1.9956205390883195	0
-1.99551372756632	0
-1.9954069160443204	0
-1.9953001045223209	0
-1.9951932930003213	0
-1.9950864814783218	0
-1.9949796699563223	0
-1.9948728584343227	0
-1.9947660469123232	0
-1.9946592353903236	0
-1.994552423868324	0
-1.9944456123463246	0
-1.994338800824325	0
-1.9942319893023255	0
-1.994125177780326	0
-1.9940183662583264	0
-1.9939115547363269	0
-1.9938047432143273	0
-1.9936979316923278	0
-1.9935911201703282	0
-1.9934843086483287	0
-1.9933774971263292	0
-1.9932706856043296	0
-1.99316387408233	0
-1.9930570625603306	0
-1.992950251038331	0
-1.9928434395163315	0
-1.992736627994332	0
-1.9926298164723324	0
-1.9925230049503329	0
-1.9924161934283333	0
-1.9923093819063338	0
-1.9922025703843342	0
-1.9920957588623347	0
-1.9919889473403352	0
-1.9918821358183356	0
-1.991775324296336	0
-1.9916685127743365	0
-1.991561701252337	0
-1.9914548897303375	0
-1.991348078208338	0
-1.9912412666863384	0
-1.9911344551643388	0
-1.9910276436423393	0
-1.9909208321203398	0
-1.9908140205983402	0
-1.9907072090763407	0
-1.9906003975543411	0
-1.9904935860323416	0
-1.990386774510342	0
-1.9902799629883425	0
-1.990173151466343	0
-1.9900663399443435	0
-1.989959528422344	0
-1.9898527169003444	0
-1.9897459053783448	0
-1.9896390938563453	0
-1.9895322823343458	0
-1.9894254708123462	0
-1.9893186592903467	0
-1.9892118477683471	0
-1.9891050362463476	0
-1.988998224724348	0
-1.9888914132023485	0
-1.988784601680349	0
-1.9886777901583494	0
-1.98857097863635	0
-1.9884641671143504	0
-1.9883573555923508	0
-1.9882505440703513	0
-1.9881437325483517	0
-1.9880369210263522	0
-1.9879301095043527	0
-1.9878232979823531	0
-1.9877164864603536	0
-1.987609674938354	0
-1.9875028634163545	0
-1.987396051894355	0
-1.9872892403723554	0
-1.987182428850356	0
-1.9870756173283564	0
-1.9869688058063568	0
-1.9868619942843573	0
-1.9867551827623577	0
-1.9866483712403582	0
-1.9865415597183587	0
-1.9864347481963591	0
-1.9863279366743596	0
-1.98622112515236	0
-1.9861143136303605	0
-1.986007502108361	0
-1.9859006905863614	0
-1.9857938790643619	0
-1.9856870675423623	0
-1.9855802560203628	0
-1.9854734444983633	0
-1.9853666329763637	0
-1.9852598214543642	0
-1.9851530099323647	0
-1.9850461984103651	0
-1.9849393868883656	0
-1.984832575366366	0
-1.9847257638443665	0
-1.984618952322367	0
-1.9845121408003674	0
-1.9844053292783679	0
-1.9842985177563683	0
